,coord_lon,coord_lat,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,main_sea_level,main_grnd_level,rain_1h,wind_gust,message,rain_3h,snow_3h,cities
1,121.89,-33.86,802,Clouds,scattered clouds,03d,stations,294.15,1020,52,294.15,294.15,10000,5.7,230,40,1569906460,1,9525,0.006,AU,1569879021,1569923651,28800,2071860,Esperance,200,,,,,,,,esperance
1,133.87,44.17,800,Clear,clear sky,01d,stations,300.5,1016.5,33,300.5,300.5,,3.1,226.438,0,1569906460,,,0.0088,RU,1569877267,1569919656,36000,2025286,Chuguyevka,200,1016.5,989.7,,,,,,chuguyevka
1,34.94,31.8,802,Clouds,scattered clouds,03d,stations,295.67,1010,73,292.04,297.15,10000,2.1,150,40,1569906461,1,6845,0.0055,IL,1569900817,1569943582,10800,6693679,Gizo,200,,,,,,,,gizo
1,-67.52,-46.43,802,Clouds,scattered clouds,03n,stations,275,1006.63,72,275,275,,4.26,187.362,35,1569906461,,,0.0061,AR,1569924099,1569969469,-10800,3863379,Mar del Plata,200,1006.63,972.13,,,,,,mar del plata
1,21.94,44.42,801,Clouds,few clouds,02d,stations,284.26,1015,84,284.26,284.26,,1.33,177.668,23,1569906462,3,2020379,0.0055,RS,1569904158,1569946480,7200,788357,Majdanpek,200,,,,,,,,majdanpek
1,74.49,15.34,802,Clouds,scattered clouds,03d,stations,298.15,1019,73,298.15,298.15,8000,1.27,248.969,40,1569906462,1,9229,0.0062,IN,1569891100,1569934319,19800,1273574,Vaini,200,,,,,,,,vaini
1,-159.32,22.08,501,Rain,moderate rain,10n,stations,298.79,1014,83,297.04,300.15,12874,2.1,170,90,1569906463,1,7865,0.0066,US,1569860894,1569903968,-36000,5848280,Kapaa,200,,,1.27,,,,,kapaa
1,14.64,63.18,802,Clouds,scattered clouds,03n,stations,273.2,985,74,272.59,274.15,10000,6.7,310,40,1569906198,1,1774,0.0069,SE,1569906482,1569947658,7200,2685750,Ostersund,200,,,,,,,,ostersund
1,-54.74,-15.9,801,Clouds,few clouds,02n,stations,298.7,1007.14,64,298.7,298.7,,1.86,331.262,20,1569906463,,,0.0064,BR,1569921696,1569965740,-14400,3448350,Pombas,200,1007.14,963.06,,,,,,pombas
1,150.16,-33.48,800,Clear,clear sky,01d,stations,292.93,1027,43,289.26,295.37,10000,3.6,90,0,1569906464,1,9599,0.0059,AU,1569872251,1569916855,36000,2160053,Lithgow,200,,,,,,,,lithgow
1,147.99,-37.88,801,Clouds,few clouds,02d,stations,294.82,1023,43,294.82,294.82,,2.24,170,15,1569906464,3,2003486,0.0057,AU,1569872676,1569917472,36000,2160735,Lakes Entrance,200,,,,4.47,,,,lakes entrance
1,149.07,-23.58,802,Clouds,scattered clouds,03d,stations,303.6,1017.58,22,303.6,303.6,,1.35,169.574,25,1569906465,,,0.0065,AU,1569872691,1569916938,36000,2175403,Bluff,200,1017.58,996.74,,,,,,bluff
1,168.86,-46.19,804,Clouds,overcast clouds,04d,stations,282.04,1009,71,282.04,282.04,,3.13,264,97,1569906465,3,2008959,0.0058,NZ,1569867453,1569912679,46800,6201424,Mataura,200,,,,6.71,,,,mataura
1,-56.83,-26.98,802,Clouds,scattered clouds,03n,stations,300.9,1002.04,29,300.9,300.9,,5.45,32.855,49,1569906465,,,0.006,PY,1569922012,1569966427,-14400,3437029,San Patricio,200,1002.04,989.13,,,,,,san patricio
1,-37.64,65.61,803,Clouds,broken clouds,04n,stations,274.15,1021,86,274.15,274.15,,1,,78,1569906466,1,81,0.0076,GL,1569919183,1569960046,-7200,3424607,Tasiilaq,200,,,,,,,,tasiilaq
1,133.23,35.55,803,Clouds,broken clouds,04d,stations,299.24,1019,78,298.15,300.15,10000,6.2,50,75,1569906466,1,8028,0.0065,JP,1569877273,1569919958,32400,1853174,Sakaiminato,200,,,,,,,,sakaiminato
1,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,city not found,,,karkaralinsk
1,-114.38,62.45,803,Clouds,broken clouds,04n,stations,278.94,1010,75,278.71,279.15,24140,4.1,170,75,1569906467,1,1007,0.0076,CA,1569850911,1569892385,-21600,6185377,Yellowknife,200,,,,,,,,yellowknife
1,-70.67,46.12,804,Clouds,overcast clouds,04n,stations,280.76,1021,41,279.82,282.04,,1.62,122.71,95,1569906224,3,2005187,0.0077,CA,1569926439,1569968641,-14400,6295855,Saint-Georges,200,,,,,,,,saint-georges
1,-46,-20.63,800,Clear,clear sky,01n,stations,290,1014.4,77,290,290,,3.3,62.083,0,1569906467,,,0.0068,BR,1569919525,1569963716,-10800,3453439,Ponta do Sol,200,1014.4,905.99,,,,,,ponta do sol
1,20.04,-34.53,800,Clear,clear sky,01d,stations,280.15,1024,93,280.15,280.15,,0.5,360,0,1569906468,1,1966,0.0059,ZA,1569903427,1569948122,7200,1015776,Bredasdorp,200,,,,,,,,bredasdorp
1,18.42,-33.93,800,Clear,clear sky,01d,stations,286.51,1022,76,283.71,288.71,10000,3.6,180,0,1569906264,1,1899,0.0065,ZA,1569903829,1569948498,7200,3369157,Cape Town,200,,,,,,,,cape town
1,59.54,50.76,800,Clear,clear sky,01d,stations,282.2,1026.4,45,282.2,282.2,,2.81,205.434,0,1569906468,,,0.008,RU,1569895267,1569937327,18000,565407,Dombarovskiy,200,1026.4,990.98,,,,,,dombarovskiy
